player,team,age,position,games_played,minutes_played,total_points,field_goals,field_goals_attempted,free_throws,free_throws_attempted,assists,rebounds,steals,blocks,turnovers,personal_fouls
Kemba Walker,CHA,22,PG,82,2859,1455,526,1244,296,371,471,283,160,31,200,153
John Wall,WAS,22,PG,49,1602,906,324,735,246,306,373,196,65,37,157,117
Gerald Wallace,BRK,30,SF,69,2076,531,182,458,121,190,181,319,97,46,110,118
Rasheed Wallace,NYK,38,C,21,296,146,55,142,14,20,6,83,13,15,10,40
Luke Walton,CLE,32,PF,50,857,172,71,181,10,20,166,145,42,13,60,98
Hakim Warrick,TOT,30,PF,28,489,194,67,165,60,88,25,89,13,6,29,37
Hakim Warrick,NOH,30,PF,1,7,4,1,2,2,2,0,0,1,0,0,0
Hakim Warrick,CHA,30,PF,27,482,190,66,163,58,86,25,89,12,6,29,37
C.J. Watson,BRK,28,PG,80,1521,543,192,459,71,91,161,145,66,12,69,123
Earl Watson,UTA,33,PG,48,829,96,37,120,17,25,190,87,40,8,69,94
Maalik Wayns,TOT,21,PG,27,202,76,26,88,17,19,27,7,6,0,15,26
Maalik Wayns,PHI,21,PG,21,165,56,19,72,13,15,20,5,3,0,13,18
Maalik Wayns,LAC,21,PG,6,37,20,7,16,4,4,7,2,3,0,2,8
Martell Webster,WAS,26,SF,76,2200,869,281,636,168,198,143,294,49,17,90,166
David West,IND,32,PF,73,2435,1250,502,1009,242,315,213,563,74,69,157,149
Russell Westbrook,OKC,24,PG,82,2861,1903,673,1535,460,575,607,428,145,24,273,189
D.J. White,BOS,26,PF,12,86,29,12,23,5,9,4,13,1,6,2,5
James White,NYK,30,SF,57,435,125,50,116,11,19,29,48,13,4,17,44
Chris Wilcox,BOS,30,C,61,830,259,110,153,39,58,22,180,32,28,34,125
Damien Wilkins,PHI,33,SG,61,1095,388,145,316,81,109,91,105,37,18,49,98
Deron Williams,BRK,28,PG,78,2842,1476,495,1124,317,369,604,232,75,30,218,194
Derrick Williams,MIN,21,PF,78,1916,933,338,786,192,272,46,430,44,37,101,127
Lou Williams,ATL,26,SG,39,1119,551,187,443,105,121,139,80,44,10,74,55
Marvin Williams,UTA,26,SF,73,1727,529,199,470,77,99,77,263,37,38,60,98
Mo Williams,UTA,30,PG,46,1418,592,229,533,75,85,285,110,46,9,125,105
Reggie Williams,CHA,26,SF,40,380,146,57,132,10,21,39,51,12,1,19,19
Terrence Williams,BOS,25,SF,24,318,110,48,97,9,21,38,44,11,2,22,13
Metta World Peace,LAL,33,SF,75,2530,929,332,824,124,169,112,372,122,42,98,198
Brandan Wright,DAL,25,C,64,1149,541,241,404,59,96,38,260,26,76,34,78
Chris Wright,DAL,23,SG,3,4,2,1,2,0,0,0,0,0,0,1,0
Dorell Wright,PHI,27,SF,79,1783,729,237,599,120,141,150,302,62,35,64,98
Tony Wroten,MEM,19,SG,35,272,91,33,86,21,29,43,28,8,4,29,34
Nick Young,PHI,27,SG,59,1411,628,224,542,105,128,84,130,36,14,50,84
Sam Young,IND,27,SG,56,693,155,58,148,23,43,42,123,15,8,33,62
Thaddeus Young,PHI,24,PF,76,2629,1127,509,958,108,188,125,571,133,55,90,191
Luke Zeller,PHO,25,C,16,58,19,9,26,0,0,3,10,0,0,0,5
Tyler Zeller,CLE,23,C,77,2033,610,245,559,120,157,96,438,35,70,95,251
