Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
Wes Westrum,25,NYG,NL,66,145,125,14,20,3,1,4,16,3,,20,36,0.16,0.276,0.296,0.572,54,37,1,0,0,,,2
Don White,29,PHA,AL,86,280,253,29,62,14,2,1,28,0,1,19,16,0.245,0.303,0.328,0.631,67,83,6,2,6,,,O759/8
Ernie White,31,BSN,NL,16,3,3,0,0,0,0,0,0,0,,0,2,0,0,0,0,-100,0,0,0,0,,,1
Hal White,29,DET,AL,27,15,13,1,2,1,0,0,1,0,0,2,6,0.154,0.267,0.231,0.497,31,3,0,0,0,,,1
Dick Whitman*,27,BRO,NL,60,183,165,24,48,13,0,0,20,4,,14,12,0.291,0.346,0.37,0.716,91,61,3,0,4,,,O97/8
Frank Whitman,23,CHW,AL,3,6,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,0,0,0,,,/6
Al Widmar,23,SLB,AL,49,11,10,1,3,1,0,0,0,0,0,1,4,0.3,0.364,0.4,0.764,101,4,0,0,0,,,1
Bill Wight*,26,CHW,AL,34,79,73,2,6,0,0,0,3,0,0,3,31,0.082,0.13,0.082,0.212,-42,6,1,1,3,,,1
Del Wilber,29,STL,NL,27,64,58,5,11,2,0,0,10,0,,4,9,0.19,0.242,0.224,0.466,24,13,3,0,2,,,2
Ted Wilks,32,STL,NL,57,36,30,1,5,1,0,0,4,0,,3,7,0.167,0.242,0.2,0.442,18,6,0,0,3,,,1
Dewey Williams,32,CIN,NL,48,108,95,9,16,2,0,1,5,0,,10,18,0.168,0.248,0.221,0.469,29,21,1,0,3,,,2
Ted Williams*,29,BOS,AL,137,638,509,124,188,44,3,25,127,4,0,126,41,0.369,0.497,0.615,1.112,189,313,10,3,0,,,*7O
Grady Wilson,25,PIT,NL,12,10,10,1,1,1,0,0,1,0,,0,3,0.1,0.1,0.2,0.3,-21,2,0,0,0,,,/6
Jim Wilson,26,SLB,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,,,/1
